Date,Open,High,Low,Close
4-January-2021,48109.17,48220.47,47594.47,48176.80,
5-January-2021,48037.63,48486.24,47903.38,48437.78,
6-January-2021,48616.66,48616.66,47864.14,48174.06,
7-January-2021,48524.36,48558.34,48037.87,48093.32,
8-January-2021,48464.91,48854.34,48365.58,48782.51,
11-January-2021,49252.31,49303.79,48956.38,49269.32,
12-January-2021,49228.26,49569.14,49079.57,49517.11,
13-January-2021,49763.93,49795.19,49073.85,49492.32,
14-January-2021,49432.83,49663.58,49182.37,49584.16,
15-January-2021,49656.71,49656.71,48795.79,49034.67,
18-January-2021,49061.22,49122.23,48403.97,48564.27,
19-January-2021,48900.31,49499.86,48805.54,49398.29,
20-January-2021,49508.79,49874.42,49373.68,49792.12,
21-January-2021,50096.57,50184.01,49398.86,49624.76,
22-January-2021,49594.95,49676.88,48832.08,48878.54,
25-January-2021,49253.68,49263.15,48274.92,48347.59,
27-January-2021,48385.28,48387.25,47269.60,47409.93,
28-January-2021,46834.57,47172.02,46518.48,46874.36,
29-January-2021,47423.47,47423.66,46160.46,46285.77,
1-February-2021,46617.95,48764.40,46433.65,48600.61,
2-February-2021,49193.26,50154.48,49193.26,49797.72,
3-February-2021,50231.06,50526.39,49515.88,50255.75,
4-February-2021,50212.25,50687.51,49926.45,50614.29,
5-February-2021,51031.39,51073.27,50565.29,50731.63,
8-February-2021,51146.67,51523.38,51146.67,51348.77,
9-February-2021,51484.23,51835.86,51193.93,51329.08,
10-February-2021,51355.89,51512.86,50846.22,51309.39,
11-February-2021,51165.84,51592.45,51157.31,51531.52,
12-February-2021,51614.77,51804.58,51260.62,51544.30,
15-February-2021,51907.75,52235.97,51886.46,52154.13,
16-February-2021,52400.03,52516.76,51863.61,52104.17,
17-February-2021,51996.94,52078.15,51586.34,51703.83,
18-February-2021,51903.96,51903.96,51186.68,51324.69,
19-February-2021,51238.02,51432.99,50624.33,50889.76,
22-February-2021,50910.51,50986.03,49617.37,49744.32,
23-February-2021,49994.85,50327.31,49659.85,49751.41,
24-February-2021,49763.94,50881.17,49648.78,50781.69,
25-February-2021,51207.61,51386.12,50991.76,51039.31,
26-February-2021,50256.71,50400.31,48890.48,49099.99,
1-March-2021,49747.71,50058.42,49440.46,49849.84,
2-March-2021,50258.09,50439.82,49807.12,50296.89,
3-March-2021,50738.21,51539.89,50512.84,51444.65,
4-March-2021,50812.14,51256.55,50539.92,50846.08,
5-March-2021,50517.36,50886.19,50160.54,50405.32,
8-March-2021,50654.02,50985.77,50318.26,50441.07,
9-March-2021,50714.16,51111.94,50396.10,51025.48,
10-March-2021,51404.68,51430.43,51048.93,51279.51,
12-March-2021,51660.98,51821.84,50538.43,50792.08,
15-March-2021,50773.47,50834.78,49799.07,50395.08,
16-March-2021,50608.42,50857.98,50289.44,50363.96,
17-March-2021,50436.02,50561.12,49718.65,49801.62,
18-March-2021,50161.25,50296.35,48962.36,49216.52,
19-March-2021,48881.19,50003.58,48586.93,49858.24,
22-March-2021,49878.77,49878.77,49281.02,49771.29,
23-March-2021,49876.21,50264.65,49661.92,50051.44,
24-March-2021,49786.47,49854.58,49120.34,49180.31,
25-March-2021,49201.98,49247.95,48236.35,48440.12,
26-March-2021,48969.25,49234.66,48699.91,49008.50,
30-March-2021,49331.68,50268.45,49331.68,50136.58,
31-March-2021,50049.12,50050.32,49442.50,49509.15,
1-April-2021,49868.53,50092.48,49478.53,50029.83,
5-April-2021,50020.91,50028.67,48580.80,49159.32,
6-April-2021,49441.13,49582.26,48936.35,49201.39,
7-April-2021,49277.09,49900.13,49093.90,49661.76,
8-April-2021,49885.26,50118.08,49581.61,49746.21,
9-April-2021,49743.39,49906.91,49461.01,49591.32,
12-April-2021,48956.65,48956.65,47693.44,47883.38,
13-April-2021,47991.53,48627.43,47775.32,48544.06,
15-April-2021,48512.77,48887.85,48010.55,48803.68,
16-April-2021,48935.74,49089.55,48694.49,48832.03,
19-April-2021,47940.81,48020.79,47362.71,47949.42,
